Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDZ14,OUT018,-0.360106266
DRG49,OUT049,1.123404342
NCG06,OUT045,1.322352353
DRC36,OUT045,0.282011259
FDV21,OUT019,-1.063529206
FDB53,OUT046,0.088682926
DRP47,OUT019,-0.886085129
FDA14,OUT013,0.059821512
DRC24,OUT035,0.125850013
FDW21,OUT018,-0.509973643
NCH29,OUT046,-0.391295324
FDU58,OUT013,0.485793025
FDY27,OUT017,0.433724998
FDV56,OUT035,-0.229394149
FDT59,OUT046,0.842360647
FDB23,OUT046,0.96786441
FDR49,OUT045,-0.861027148
FDB03,OUT010,-0.466461646
FDN39,OUT045,0.303447188
FDX02,OUT027,1.98734077
FDQ16,OUT027,0.314093052
FDU35,OUT018,-0.476922487
NCT29,OUT013,-0.16657536
FDZ27,OUT046,-0.842064155
FDN57,OUT017,0.013097302
FDA03,OUT018,-0.192079406
FDZ36,OUT045,0.389153875
NCU05,OUT013,-0.553459878
FDT39,OUT018,-0.121195029
FDK60,OUT017,-0.449205186
FDZ25,OUT017,0.26889381
FDG12,OUT046,-0.088614473
DRB01,OUT019,-1.017445048
NCC43,OUT027,2.047200796
FDX13,OUT019,-0.917813927
FDM22,OUT049,-0.862242517
FDJ03,OUT027,-0.551920851
FDU14,OUT018,0.72550285
FDB33,OUT010,-0.629635741
FDP27,OUT046,0.495728071
FDO38,OUT010,-0.960990414
FDE28,OUT027,1.968421013
FDO27,OUT035,-0.420218135
DRL23,OUT027,0.251147906
FDS28,OUT046,-0.783988479
FDX24,OUT013,-0.446269217
FDZ02,OUT035,-0.374941813
FDL46,OUT045,-0.218194681
FDS60,OUT027,1.4662469
NCO06,OUT017,-0.961010554
FDO16,OUT035,-0.512709287
FDC60,OUT049,-0.542260609
FDA48,OUT018,0.534062023
FDZ36,OUT027,1.66481506
FDK27,OUT045,-0.160518526
FDW23,OUT018,-0.961351521
FDM14,OUT018,-0.431223943
FDM14,OUT013,-0.290922493
FDW60,OUT018,0.062459793
FDE21,OUT013,-0.214536372
NCM42,OUT035,-0.279377954
FDY59,OUT010,-0.914076678
DRI49,OUT049,-0.552742315
FDT28,OUT019,-1.086365027
FDQ22,OUT018,-1.030592475
FDR60,OUT049,-0.570950908
FDC50,OUT019,-1.156177965
FDV24,OUT013,0.140850651
DRF48,OUT010,-0.405179594
FDQ47,OUT046,-0.913725592
DRN36,OUT049,-0.403109712
NCY06,OUT035,-0.094712453
FDE52,OUT035,-0.439928665
NCB54,OUT045,-0.120652569
NCF31,OUT035,0.130536898
FDJ08,OUT027,1.539795943
NCC07,OUT017,-0.318493446
NCD19,OUT027,-0.582186725
FDL46,OUT049,-0.119882878
FDM20,OUT045,1.201083991
NCI06,OUT010,-0.572382741
DRM11,OUT035,1.08580375
NCH07,OUT018,-0.007823153
FDS23,OUT013,-0.071450758
FDO49,OUT018,-0.937791009
FDS35,OUT049,-0.674070555
DRK39,OUT045,-0.54439216
DRI39,OUT049,-0.740035001
FDV04,OUT017,0.232208553
NCN14,OUT035,0.422728438
FDH08,OUT013,1.082505961
FDS20,OUT046,0.422746163
FDV40,OUT049,-0.593683073
FDZ48,OUT010,-0.82029122
FDS24,OUT027,0.055917906
FDK44,OUT049,0.364494022
FDS48,OUT045,0.168685562
FDK26,OUT010,-0.643963425
FDD23,OUT045,0.440495135
NCH54,OUT017,0.226275902
NCP14,OUT010,-0.896168112
FDM60,OUT010,-1.20430111
FDV24,OUT017,0.136309144
FDH08,OUT018,0.54030602
FDS12,OUT027,0.525765941
FDR39,OUT027,1.469519059
FDP12,OUT027,-0.70142946
DRF60,OUT027,2.101238651
FDC09,OUT035,-0.302432599
FDF50,OUT018,0.372905958
FDG28,OUT035,1.107485659
NCE19,OUT017,-0.768938178
NCM53,OUT010,-0.836279472
NCN18,OUT049,-0.208301651
FDF32,OUT035,0.579468061
FDF11,OUT013,1.107392529
DRI59,OUT049,1.014382671
NCG54,OUT035,0.296052021
FDM44,OUT046,-0.354017067
FDT57,OUT018,0.587466423
FDV24,OUT046,0.123791446
FDI50,OUT019,-0.937256836
FDS09,OUT035,-0.829548372
NCC31,OUT027,1.070057157
FDQ07,OUT019,-0.941642432
FDC22,OUT017,0.530171643
FDZ56,OUT046,0.283271756
FDZ40,OUT019,-1.191989637
FDS46,OUT027,0.586632715
DRD24,OUT045,0.028322504
FDV45,OUT017,0.546986997
FDL26,OUT045,0.167819811
FDA56,OUT018,-0.315703241
FDN27,OUT046,-0.195195683
FDM20,OUT049,1.23123772
FDO16,OUT017,-0.540335883
FDL03,OUT035,0.66249012
FDE58,OUT046,-0.204349449
FDI02,OUT027,0.451966931
NCC55,OUT019,-1.214983968
FDR03,OUT018,0.28259231
FDB14,OUT017,-0.479703964
FDR45,OUT013,1.168756772
NCN07,OUT017,-0.083608981
FDM51,OUT019,-1.124621909
FDT52,OUT027,2.232012241
FDL26,OUT046,0.149436551
NCZ42,OUT046,0.904777426
DRI47,OUT019,-1.091592361
FDW40,OUT013,-0.016502513
FDN34,OUT046,0.40045509
FDS01,OUT035,0.363760442
NCG55,OUT045,-0.224048711
FDC11,OUT035,-0.48452214
FDX35,OUT018,0.4519841
NCB06,OUT046,0.208968348
FDR09,OUT019,-0.860983344
FDC53,OUT017,-0.400111654
FDY45,OUT013,1.349894765
FDA22,OUT010,-0.582009864
FDE02,OUT035,-0.402465422
FDW21,OUT045,-0.380948057
FDV34,OUT046,-0.589282036
FDS59,OUT049,-0.357069502
NCW17,OUT017,-0.09485843
NCK54,OUT046,-0.205785371
FDG17,OUT019,-0.888944665
FDG35,OUT017,0.385699154
FDD08,OUT010,-1.163856586
NCO07,OUT017,0.862689381
FDJ10,OUT010,-0.691674149
FDW36,OUT017,-0.34050462
FDW21,OUT010,-0.897191954
FDY19,OUT017,-0.206620905
DRE03,OUT013,-0.864885463
NCC55,OUT049,-0.925393298
FDH52,OUT010,-1.091543743
FDO09,OUT017,1.038806714
FDU43,OUT045,0.984361782
FDX09,OUT010,-0.577063056
FDH40,OUT019,-1.14687726
FDW58,OUT017,-0.324441625
FDC47,OUT017,0.875875918
NCR41,OUT035,-0.42122725
DRG49,OUT035,0.981428637
FDC52,OUT027,1.163439746
FDY13,OUT046,-0.605287466
FDY35,OUT013,-0.902082334
FDI35,OUT017,0.467762674
NCU18,OUT049,0.029694153
FDY33,OUT018,0.012744543
FDC15,OUT027,0.896145173
FDU01,OUT049,0.640380247
NCU42,OUT046,0.281920946
NCV29,OUT018,0.134549265
NCY30,OUT017,0.503440778
FDQ46,OUT049,-0.260681741
FDG58,OUT027,1.155629586
FDK33,OUT017,0.885464797
NCD07,OUT045,-0.230511768
NCX29,OUT027,0.942761632
NCT42,OUT013,0.11639461
DRN59,OUT035,-0.853463887
FDI44,OUT035,-0.548051158
FDA45,OUT049,0.425675516
FDP31,OUT045,-0.679429899
FDY01,OUT046,-0.226114867
FDT09,OUT018,-0.263819455
DRH03,OUT027,0.011665385
FDA36,OUT018,0.240564804
NCF31,OUT017,0.147533713
FDG14,OUT049,0.065538679
FDG28,OUT027,2.231746306
FDU14,OUT049,1.296569555
FDY47,OUT019,-1.105590337
FDI56,OUT049,-0.462489533
DRD01,OUT013,-0.840878391
FDM22,OUT046,-0.759861877
FDH33,OUT013,-0.885672496
DRZ24,OUT013,-0.194619264
NCQ38,OUT046,-0.320506988
FDO16,OUT027,-0.129498753
FDU07,OUT027,1.017720167
NCB07,OUT013,0.575324781
FDU48,OUT045,-0.069916607
NCM43,OUT045,0.30865827
FDR31,OUT010,-0.789798354
DRK49,OUT018,-1.008397665
NCI30,OUT010,-0.267316943
DRD60,OUT017,0.466522003
NCG19,OUT046,0.802256114
FDH12,OUT035,-0.311010892
FDM32,OUT035,-0.446535693
FDM27,OUT035,0.171363487
NCU53,OUT027,1.210822616
NCQ18,OUT046,-0.373021635
FDS10,OUT013,0.44649781
FDB33,OUT027,1.10765159
FDI12,OUT013,-0.547066866
NCW42,OUT013,0.891813258
NCC06,OUT018,-0.27082949
FDW02,OUT017,-0.197418282
NCD43,OUT017,-0.332059613
FDM57,OUT018,-0.644853121
FDA58,OUT017,0.972686982
FDK56,OUT046,0.439842777
FDP52,OUT045,1.058333705
FDW20,OUT018,-0.309802289
FDS52,OUT049,-0.330023902
NCT29,OUT018,-0.328924802
NCL54,OUT013,0.384116853
FDC05,OUT045,0.531356371
FDF34,OUT035,0.682946015
FDP03,OUT027,0.68205849
FDD32,OUT010,-1.010236662
FDZ10,OUT045,-0.080299703
FDZ40,OUT035,-0.789681781
FDD51,OUT018,-0.918967285
NCY30,OUT019,-1.070796699
FDP58,OUT017,0.783391437
FDV49,OUT017,1.403271162
FDY24,OUT019,-1.177819088
NCO55,OUT017,-0.294958108
FDR13,OUT017,-0.273208912
FDS51,OUT017,-0.735698877
FDP26,OUT045,-0.314782469
NCB54,OUT027,0.684229166
FDF32,OUT017,0.609986357
FDN31,OUT018,0.201541448
DRM48,OUT017,-0.93619298
FDN20,OUT049,0.399999573
DRL01,OUT046,1.033113204
FDV56,OUT049,-0.298905001
DRH13,OUT027,0.279971064
FDA03,OUT017,-0.012817725
FDF47,OUT027,1.895570299
FDX32,OUT046,0.103957306
FDX57,OUT049,-0.483560919
NCA30,OUT045,0.537101458
FDO49,OUT013,-0.885286724
FDL04,OUT019,-1.137877136
DRM48,OUT035,-0.907825465
FDR16,OUT013,0.672227022
NCC19,OUT018,0.270989673
NCE42,OUT045,1.14090213
FDY24,OUT017,-0.80168224
FDH19,OUT049,0.456528393
FDJ46,OUT013,0.369648601
FDN45,OUT010,-0.377682317
FDY08,OUT035,0.001749254
FDZ37,OUT035,-0.46347752
NCT30,OUT045,-0.845491992
DRY23,OUT018,-0.970420748
NCZ30,OUT018,-0.328873316
FDC44,OUT018,-0.411225332
FDB45,OUT035,-0.325067436
FDY04,OUT013,0.173415195
FDM27,OUT046,0.294159061
FDZ43,OUT017,1.004909594
FDT39,OUT019,-1.040402157
NCC06,OUT019,-1.101967137
FDL15,OUT027,1.081444887
FDL57,OUT017,1.128575883
FDU08,OUT046,-0.379877829
FDK40,OUT017,1.409237005
FDQ12,OUT010,-0.306568364
FDS48,OUT017,0.143738369
FDP09,OUT045,0.832675727
FDW21,OUT049,-0.357548319
FDY25,OUT035,0.39879445
DRE13,OUT017,-0.518705054
FDV43,OUT019,-1.207510804
FDD22,OUT045,-0.247782639
FDM46,OUT019,-1.130604701
NCO30,OUT010,-0.494799542
FDM25,OUT046,0.398606243
NCN41,OUT049,-0.155657042
FDU24,OUT045,-0.420972858
FDZ50,OUT046,0.483463147
FDP45,OUT013,1.195000593
NCM54,OUT045,-0.128320396
FDW10,OUT019,-1.058459954
FDP20,OUT017,-0.110164376
FDK32,OUT046,0.175848777
FDN52,OUT049,-0.504630941
FDM58,OUT045,-0.268859006
FDZ46,OUT027,0.400768464
NCA18,OUT018,-0.354709595
FDD35,OUT046,-0.16301507
NCK31,OUT035,-0.832132451
FDI40,OUT027,0.251426849
FDT50,OUT019,-1.11676188
NCT06,OUT046,0.244259654
FDT31,OUT035,0.448258117
FDT45,OUT049,-0.80452321
FDT13,OUT045,0.564578861
FDO50,OUT045,-0.452772119
NCU18,OUT010,-0.717121329
NCR54,OUT049,0.56816203
NCO18,OUT018,0.136598903
FDU09,OUT045,-0.842090403
FDT13,OUT018,0.221435472
FDE09,OUT046,-0.253864888
NCK53,OUT019,-1.115338258
FDG45,OUT049,1.007658294
DRH15,OUT035,-0.844918295
FDO21,OUT019,-0.848139355
FDD14,OUT027,1.251424537
FDC09,OUT046,-0.302435938
FDH45,OUT027,-0.63666603
FDV32,OUT046,-0.675736432
FDG12,OUT035,-0.119597264
FDS32,OUT013,-0.043118228
NCL55,OUT018,0.616419538
DRE01,OUT035,0.774064825
DRE15,OUT049,-0.580740533
NCL42,OUT045,1.204919841
FDP31,OUT013,-0.69590232
FDN33,OUT018,-0.506182191
FDZ59,OUT046,0.283561856
FDE45,OUT010,-0.58105802
FDJ07,OUT013,-0.18846221
FDQ45,OUT018,0.1235939
FDM33,OUT027,1.885251061
FDO15,OUT010,-1.027280145
FDM46,OUT013,-0.457267983
FDR03,OUT045,0.742390323
FDY49,OUT018,-0.011335013
FDQ60,OUT045,-0.221001391
FDW10,OUT049,0.555943833
FDO51,OUT049,-0.931299701
FDJ40,OUT018,-0.460820631
FDS20,OUT018,0.140940763
FDU45,OUT013,-0.322187918
FDV02,OUT035,0.29242591
FDN09,OUT046,0.963104639
NCM55,OUT027,1.567378287
FDN23,OUT018,-0.161598444
FDY31,OUT010,-0.711935716
FDW03,OUT010,-0.927900795
FDD14,OUT046,0.354034768
FDV23,OUT017,-0.111724314
DRI03,OUT045,0.425074335
FDN13,OUT035,-0.386019105
FDF45,OUT027,-0.345854671
FDU46,OUT035,-0.448759086
FDB57,OUT049,1.001760397
FDV12,OUT049,-0.332441537
FDQ58,OUT013,0.157858031
NCA18,OUT017,-0.22753754
FDH52,OUT049,-0.692882306
FDM24,OUT018,-0.11059609
NCP43,OUT027,1.500621682
NCO18,OUT019,-1.07284708
FDM32,OUT017,-0.462669348
NCL07,OUT017,-0.941116255
FDK03,OUT013,1.072919009
FDP59,OUT017,-0.430062235
FDQ24,OUT049,1.406184922
FDQ16,OUT018,-0.42366259
FDU44,OUT013,0.129161064
FDH28,OUT010,-1.153081393
FDV28,OUT019,-1.157600188
FDM22,OUT045,-0.855548325
FDR56,OUT046,0.586389596
FDV39,OUT049,0.791746751
FDU37,OUT019,-1.143492506
FDQ11,OUT010,-0.006219631
FDX02,OUT045,0.91710738
NCS42,OUT018,-0.538032477
FDY57,OUT027,0.155489808
FDB21,OUT049,0.974848779
FDE28,OUT017,0.833997804
FDQ55,OUT017,-0.276581804
FDA48,OUT049,0.836929108
FDZ19,OUT045,0.36344677
NCC43,OUT045,1.117564015
NCV18,OUT046,-0.521723471
NCA42,OUT018,-0.022637152
FDY45,OUT046,1.064799006
NCC30,OUT045,0.454005893
FDM57,OUT013,-0.577028389
FDL09,OUT010,-0.574402797
FDB09,OUT027,0.618257478
FDT44,OUT035,-0.181574497
NCT06,OUT027,1.247730309
FDX26,OUT049,0.443860008
FDK32,OUT013,0.059114599
DRA12,OUT046,0.037345545
FDO46,OUT010,-0.571367142
FDE52,OUT013,-0.554101078
NCH42,OUT045,1.034793913
FDV08,OUT035,-0.895591711
FDB47,OUT018,0.358797915
FDC28,OUT010,-0.825457445
FDD22,OUT046,-0.229015021
FDS07,OUT027,0.487339869
DRI13,OUT045,0.914770804
FDG32,OUT018,0.66408167
FDU14,OUT017,1.251346921
FDD28,OUT019,-1.172635924
NCP41,OUT017,-0.279623937
FDS08,OUT049,0.39169483
FDX47,OUT045,0.126787853
FDC53,OUT019,-1.128788035
FDQ19,OUT035,1.114854431
FDL14,OUT045,0.103797462
FDM33,OUT019,-0.945006089
FDA51,OUT045,-0.206013982
FDZ27,OUT018,-0.973132846
FDT04,OUT046,-0.876517561
DRC13,OUT049,-0.174858196
FDR16,OUT027,1.921522298
FDQ03,OUT027,2.126695536
FDE38,OUT035,0.274229137
DRH23,OUT027,-0.406263212
FDT11,OUT019,-1.044694532
FDD09,OUT035,0.37892415
FDR40,OUT045,-0.543632274
FDX07,OUT017,0.441649446
FDR07,OUT035,-0.386250184
FDA51,OUT017,-0.195980315
FDT59,OUT019,-0.925670681
FDF20,OUT017,0.634079611
FDR13,OUT045,-0.290246314
FDY26,OUT049,0.815559451
FDW04,OUT017,-0.174382653
FDK52,OUT017,0.913800735
FDN60,OUT049,0.170254583
FDM09,OUT019,-1.027724899
FDP46,OUT049,-0.492022742
FDB50,OUT019,-1.152076066
NCQ29,OUT049,1.130802155
FDP16,OUT027,2.18073163
FDX33,OUT018,0.115890228
FDP07,OUT010,-0.35852856
FDN22,OUT046,0.917656258
FDF39,OUT049,1.449512803
FDS21,OUT017,-0.772136795
NCM42,OUT013,-0.309456065
FDK50,OUT019,-1.086724585
DRF13,OUT027,0.956954245
FDH35,OUT018,0.003663991
FDP60,OUT018,-0.494507388
DRJ49,OUT027,0.643659769
NCT42,OUT019,-1.092471538
FDE38,OUT049,0.335911312
FDI04,OUT049,0.578911057
NCH54,OUT045,0.189204813
FDT56,OUT049,-0.802392409
DRD15,OUT018,0.501841314
FDV58,OUT013,0.669170421
FDP21,OUT049,0.552523795
FDH05,OUT013,0.860676171
FDR10,OUT027,1.166532827
NCP06,OUT045,0.11436424
FDF33,OUT049,-0.287808337
DRK37,OUT013,0.604302842
DRH49,OUT045,-0.516246632
FDT58,OUT013,0.29003458
FDD41,OUT018,-0.457963181
FDP40,OUT018,-0.451096827
FDM51,OUT027,0.312776483
FDO45,OUT010,-1.000162893
FDW33,OUT010,-0.868280985
FDY24,OUT045,-0.785744115
FDB10,OUT010,-0.298947669
FDM40,OUT035,-0.003066753
NCI06,OUT017,0.449505903
FDW12,OUT019,-1.0987068
FDX48,OUT027,1.204259424
NCW05,OUT027,0.317588677
FDX27,OUT017,-0.43835499
DRM37,OUT045,0.610212751
FDA38,OUT045,1.182489046
FDR36,OUT046,-0.912752235
FDZ45,OUT046,0.576216156
FDG05,OUT017,0.120898685
FDK28,OUT013,1.240910633
FDV47,OUT045,-0.512850168
FDN21,OUT045,0.216616115
FDP20,OUT027,0.645316538
FDI35,OUT045,0.467963429
DRY23,OUT013,-0.932839821
FDA56,OUT017,-0.138951949
FDB09,OUT013,-0.157388316
NCO26,OUT027,0.512666424
FDQ49,OUT018,-0.114008037
FDI52,OUT027,0.598074069
FDZ44,OUT027,0.471954317
FDZ09,OUT018,0.059152039
FDY03,OUT049,-0.344164156
NCG42,OUT017,-0.088307164
DRI13,OUT027,1.967122128
FDQ32,OUT013,-0.208563657
FDW16,OUT035,-0.431621612
FDU27,OUT046,-0.830841672
FDR28,OUT010,-0.732689615
FDQ49,OUT010,-0.76013422
FDS37,OUT046,-0.215400977
FDW26,OUT018,0.553493611
FDX12,OUT018,0.479991932
NCP06,OUT013,0.128249331
FDW45,OUT010,-0.713450047
NCN30,OUT049,-0.405330775
FDN24,OUT049,-0.77639433
NCL41,OUT027,-0.799678577
FDR02,OUT019,-1.11462077
FDD09,OUT010,-0.536283411
FDS33,OUT010,-0.959420754
FDU22,OUT045,-0.176971808
FDI53,OUT013,0.257148743
DRH01,OUT049,0.36320049
FDX32,OUT013,-0.00972021
NCP30,OUT018,-1.024291736
FDB60,OUT045,0.652062044
FDB14,OUT049,-0.504929066
NCP02,OUT035,-0.75338037
FDJ10,OUT017,0.028484998
FDG34,OUT046,-0.204016316
NCB18,OUT017,-0.49673428
FDM16,OUT049,-0.664377558
FDW25,OUT018,-0.64069162
FDB35,OUT010,-0.942724218
DRN11,OUT013,0.041848217
FDF41,OUT019,-0.889452735
FDH16,OUT045,-0.490893861
NCQ50,OUT018,0.38576244
DRH23,OUT018,-0.887279995
DRJ37,OUT013,0.128665742
DRJ24,OUT027,1.475657071
FDY16,OUT035,0.47045787
FDQ27,OUT045,-0.398249396
FDZ33,OUT045,0.111928093
FDF29,OUT045,-0.113055322
FDA08,OUT049,0.198505366
FDG31,OUT046,-0.686549806
FDE34,OUT019,-1.009544222
NCR30,OUT027,-0.182045046
FDV33,OUT035,1.251879613
DRZ24,OUT018,-0.338589451
NCL54,OUT035,0.334862971
FDR12,OUT049,0.361947018
NCC54,OUT046,0.934243749
DRN59,OUT013,-0.85730202
FDX50,OUT019,-1.110640313
FDV31,OUT027,1.409530338
NCA29,OUT027,1.372255792
FDW60,OUT049,0.460977501
FDX08,OUT017,0.503198058
DRD49,OUT013,0.844591619
FDD33,OUT046,0.846168577
FDW35,OUT013,-0.897801097
FDJ36,OUT017,-0.340676985
FDV51,OUT035,0.257766041
FDW36,OUT046,-0.302187727
FDH35,OUT046,0.252442158
NCS30,OUT027,0.733590064
FDN49,OUT017,-0.962607879
FDL08,OUT018,0.591617956
FDI09,OUT013,0.903217686
FDP19,OUT018,-0.254553722
FDU21,OUT010,-1.216342641
NCP41,OUT045,-0.29862035
FDY10,OUT013,-0.26022366
FDP12,OUT018,-1.037377497
NCN26,OUT049,-0.196925786
FDK44,OUT013,0.377209217
FDC28,OUT049,-0.292738928
FDJ41,OUT027,2.274022506
NCT29,OUT035,-0.141648296
NCH42,OUT019,-0.977993988
FDU60,OUT018,-0.025706213
FDS02,OUT045,0.551586665
FDC51,OUT046,-0.080813399
FDU03,OUT013,0.366104706
FDX39,OUT045,0.70149264
NCY05,OUT010,-1.147025629
NCL06,OUT027,2.145584149
FDD32,OUT035,-0.514867905
NCN41,OUT045,-0.16170325
NCX53,OUT049,0.106940148
FDU57,OUT019,-1.05006313
FDQ23,OUT046,-0.330230485
FDQ52,OUT045,1.039736906
FDC14,OUT045,-0.969243054
FDY09,OUT035,0.353732306
FDQ28,OUT045,0.085510021
FDV25,OUT046,0.782317702
FDJ07,OUT035,-0.217796744
DRB25,OUT049,-0.325925122
FDK52,OUT019,-0.9481719
FDY52,OUT027,-0.461452627
FDB28,OUT046,0.567172514
FDT36,OUT035,-0.917704263
FDV25,OUT017,0.924390329
NCN07,OUT027,0.684003027
FDC57,OUT017,0.483131301
FDQ03,OUT018,0.508593671
FDU23,OUT017,0.328130386
NCX41,OUT035,0.684230798
NCD06,OUT035,-0.833105583
FDW08,OUT045,-0.303159155
NCU29,OUT017,0.080506494
NCE06,OUT013,0.226012688
FDV52,OUT010,-0.782484927
FDB02,OUT017,0.347264317
NCR18,OUT045,-0.898098373
FDK16,OUT049,-0.385616297
NCQ29,OUT010,-0.224622373
FDZ01,OUT019,-1.106205882
FDW27,OUT035,0.189700786
FDD17,OUT018,0.56680872
FDW39,OUT013,0.329909707
DRH59,OUT045,-0.631615405
FDS52,OUT013,-0.350331963
FDU40,OUT027,1.698453655
NCF54,OUT013,0.369543454
FDH46,OUT045,-0.417766573
NCP14,OUT049,-0.335209599
FDH50,OUT049,0.625155842
DRF15,OUT010,-0.681130387
FDV27,OUT027,0.067514735
NCJ06,OUT049,-0.162466856
FDN02,OUT018,0.323853531
FDQ51,OUT049,-0.870783465
FDQ07,OUT017,0.767533974
FDS45,OUT049,-0.364714339
NCJ06,OUT045,-0.173282749
FDD36,OUT035,-0.207203442
FDY25,OUT045,0.487905172
FDU52,OUT046,0.154521811
DRK47,OUT017,0.941121695
NCL30,OUT017,-0.105647403
FDN22,OUT035,0.920749156
NCF30,OUT027,0.639376761
FDK03,OUT035,1.14517565
FDT45,OUT017,-0.789426071
NCC54,OUT027,1.988876243
FDP08,OUT018,0.392382195
FDU44,OUT046,0.292506411
DRG39,OUT035,-0.801019975
FDU32,OUT049,-0.130907203
FDY27,OUT049,0.58540037
NCP54,OUT013,-0.154477461
NCZ41,OUT049,-0.129515032
DRL49,OUT013,0.043705035
FDI05,OUT018,-0.662422223
FDY56,OUT045,0.837717516
DRC13,OUT013,-0.19845734
NCV29,OUT017,0.469493614
FDR24,OUT049,-0.56899738
FDZ34,OUT018,0.221817212
FDP37,OUT035,-0.124548985
FDX08,OUT027,1.490675082
FDS57,OUT045,0.039155112
NCG18,OUT049,-0.331220756
FDK25,OUT018,0.326158658
FDH53,OUT049,-0.569864039
DRI59,OUT018,0.45141372
FDA52,OUT046,0.393914194
FDT20,OUT010,-1.15276218
FDE36,OUT019,-1.091913826
FDI24,OUT017,0.364415063
FDB28,OUT018,0.313598442
FDV11,OUT017,0.298742233
FDP01,OUT046,0.195530371
FDD34,OUT027,1.180561368
FDJ50,OUT027,-0.58992224
FDZ44,OUT013,-0.200585993
DRO59,OUT035,-0.588306742
DRB48,OUT045,-0.956140896
FDR21,OUT018,0.092492568
NCE42,OUT010,-0.142631589
FDO23,OUT046,-0.433921191
NCE30,OUT018,0.427744986
FDQ22,OUT035,-0.931862381
FDY01,OUT045,-0.186046275
FDS08,OUT017,0.406599091
FDG28,OUT018,0.500222819
FDQ51,OUT018,-0.942194774
FDB05,OUT017,1.115569132
FDO56,OUT049,-0.286104902
FDE02,OUT018,-0.600610205
FDN45,OUT017,0.841968961
FDS09,OUT013,-0.901864466
NCA54,OUT018,0.145740383
FDP09,OUT010,-0.396863748
FDC53,OUT045,-0.379367994
NCM55,OUT017,0.49535974
FDL09,OUT018,0.234013268
FDA11,OUT019,-1.120824611
FDA50,OUT045,-0.414986474
FDC23,OUT017,0.469942879
FDE22,OUT049,0.272227633
FDD23,OUT046,0.547921235
NCA29,OUT049,0.44037807
FDK38,OUT046,0.078295821
DRC13,OUT046,-0.112068431
NCP43,OUT049,0.507829718
FDX28,OUT049,-0.363748977
FDF08,OUT049,-0.561853197
FDZ33,OUT046,0.107752253
FDD10,OUT049,0.387101654
FDO58,OUT017,0.254047567
FDI50,OUT017,0.963300836
FDO58,OUT045,0.29045233
FDX08,OUT013,0.487098804
NCK17,OUT010,-1.145711544
FDF39,OUT035,1.283357251
FDU45,OUT010,-0.910257178
NCJ18,OUT018,-0.35457128
DRC27,OUT019,-0.923301299
DRC25,OUT035,-0.503347535
FDU59,OUT035,0.213439975
FDU28,OUT035,0.609723215
NCP30,OUT046,-0.904538474
FDB39,OUT018,-0.887396755
FDE41,OUT013,-0.572867378
DRH11,OUT010,-1.056878662
FDA58,OUT045,0.966459237
FDU50,OUT046,-0.199726162
FDM34,OUT013,-0.093122775
FDM44,OUT027,0.197942168
FDR39,OUT045,0.460028089
FDM25,OUT045,0.284709872
